ADQUIRIENCIA;ESTADO;TIPO_TERMINAL;TIPO_COMUNICACION;STATUS_TERMINAL;CANTIDAD_EQP
BANCO MERCANTIL;Portuguesa;POS;Inalambrico;Inactivo;2
BANCO MERCANTIL;Barinas;POS;DialUp;Inactivo;1
BANCO MERCANTIL;Lara;POS;TCP-IP;Activo;2
BANCO PROVINCIAL;Vargas;POS;Inalambrico;Inactivo;1
BANCO PROVINCIAL;Aragua;POS;LAN;Inactivo;4
BANCO MERCANTIL;Amazonas;POS;Inalambrico;Activo;2
BANCO MERCANTIL;Cojedes;POS;Inalambrico;Inactivo;1
BANCO MERCANTIL;Distrito Capital;POS;DialUp;Activo;1638
BANCO PROVINCIAL;Miranda;POS;DialUp;Activo;2614
BANCO PROVINCIAL;Barinas;POS;DialUp;Activo;651
BANCO PROVINCIAL;Carabobo;POS;DialUp;Activo;1641
BANCO MERCANTIL;Merida;POS;DialUp;Activo;603
BANCO MERCANTIL;Sucre;POS;DialUp;Activo;307
BANCO PROVINCIAL;Trujillo;POS;DialUp;Activo;556
BANCO PROVINCIAL;Portuguesa;POS;DialUp;Activo;449
BANCO MERCANTIL;Lara;POS;DialUp;Activo;498
BANCO MERCANTIL;Miranda;POS;DialUp;Inactivo;22
BANCO MERCANTIL;Portuguesa;POS;DialUp;Activo;271
BANCO PROVINCIAL;Zulia;POS;DialUp;Inactivo;54
BANCO MERCANTIL;Vargas;POS;DialUp;Activo;126
BANCO MERCANTIL;Guarico;POS;DialUp;Inactivo;8
BANCO PROVINCIAL;Apure;POS;DialUp;Inactivo;11
BANCO MERCANTIL;Yaracuy;POS;DialUp;Inactivo;3
BANCO MERCANTIL;Zulia;POS;TCP-IP;Activo;1
BANCO PROVINCIAL;Merida;CAJA REGIST.;LAN;Activo;133
BANCO PROVINCIAL;Guarico;CAJA REGIST.;LAN;Activo;102
BANCO PROVINCIAL;Falcon;POS;LAN;Activo;250
BANCO PROVINCIAL;Zulia;POS;LAN;Activo;1651
BANCO MERCANTIL;Bolivar;POS;LAN;Activo;195
BANCO MERCANTIL;Zulia;POS;LAN;Activo;497
BANCO MERCANTIL;Carabobo;POS;LAN;Activo;418
BANCO MERCANTIL;Miranda;CAJA REGIST.;LAN;Activo;2817
BANCO PROVINCIAL;Nueva Esparta;CAJA REGIST.;LAN;Activo;624
BANCO MERCANTIL;Portuguesa;CAJA REGIST.;LAN;Activo;267
BANCO MERCANTIL;Falcon;CAJA REGIST.;LAN;Activo;169
BANCO MERCANTIL;Guarico;CAJA REGIST.;LAN;Activo;108
BANCO PROVINCIAL;Cojedes;CAJA REGIST.;LAN;Activo;28
BANCO PROVINCIAL;Amazonas;POS;LAN;Activo;4
BANCO PROVINCIAL;Lara;POS;Inalambrico;Activo;2547
BANCO MERCANTIL;Merida;POS;Inalambrico;Activo;702
BANCO MERCANTIL;Vargas;POS;Inalambrico;Activo;223
BANCO PROVINCIAL;Distrito Capital;POS;Inalambrico;Activo;1470
BANCO PROVINCIAL;Aragua;POS;Inalambrico;Activo;700
BANCO MERCANTIL;Nueva Esparta;POS;Inalambrico;Activo;350
BANCO PROVINCIAL;Sucre;POS;Inalambrico;Activo;81
BANCO PROVINCIAL;Cojedes;POS;Inalambrico;Inactivo;3
BANCO MERCANTIL;Distrito Capital;POS;Inalambrico;Inactivo;4
BANCO MERCANTIL;Zulia;POS;Inalambrico;Inactivo;8
BANCO PROVINCIAL;Monagas;POS;DialUp;Inactivo;10
BANCO MERCANTIL;Apure;POS;DialUp;Inactivo;2
BANCO MERCANTIL;Monagas;CAJA REGIST.;LAN;Inactivo;3
BANCO MERCANTIL;Bolivar;POS;TCP-IP;Activo;2
BANCO MERCANTIL;Sucre;POS;Inalambrico;Inactivo;1
